"Bt"||"B"|||23|25|27|46|51|56|24|26|28|0|0|1|0|6|10|87|93|96|80|89|94|69|85|94|60|75|86|12|20.9|30|1|1.5|2|1|2.2|3|1|2|3|6|6.5|7|8|8.7|9|52|54.6|65|30|32.6|34.6|20|22|24|15|24.5|32|0|0|0|0|0.25|0.5||||1.53|1.54|1.55||||1.61|1.62|1.71|2.67|4.23|9.17|14.11|0.14|0.18|0.22||||20.3|27|32|7.5|13.9|19.7|32|36|39|0.8|1.5|3.2|25|34|42|9|16|22|2|10|19|".49"|".49"|0|0|0|0|0|0|0|0|0|0|0|0||||4.6|8.8|16.3|2.7|8.6|13.9|4.5|5.5|6.5||||||||||0|5.2|11.5|||||||||||||||||||||"25727837"|"76732212"
"Cg"||"H"||3||86|||117|||31||0|0|0|0|5|10|90|95|100|70|85|100|65|82.5|100|35|65|95||17.8|||0.2|||0.4|||1.2|||5.1|||10.9|||54.2||||||||15|28|32||||0.5|0.75|1||||1.2|1.35|1.5|||||1.42|||1.41|7.76|14.11|0.12|0.14|0.16|||||27.1|||14.3|||41||0|1.5|2.9|26|38|43|9|19|22||||".43"|".43"|0|0|0|0|0|0|0|0|0|0|0|0||||8.1|14.5|16.5||||4.5|5.3|6|||||||||||||||||||||||||||||||||"25727258"|"76729982"
"B"||"H"||2||30|||86|||56||0|0|0|0|3|5|95|97.5|100|95|97.5|100|75|87.5|100|35|65|95||17.8|||0.2|||0.4|||1.2|||5.1|||10.9|||54.2||||||||15|28|32||||0.5|0.75|1||||1.2|1.35|1.5|||||1.41|||1.41|7.76|14.11|0.14|0.16|0.18|||||29.6|||15.6|||45||0|1.5|2.9|26|38|43|9|19|22||||".43"|".43"|0|0|0|0|0|0|0|0|0|0|0|0||||8.1|14.5|16.5||||4.5|5.3|6|||||||||||||||||||||||||||||||||"25727258"|"76729983"
"Ap"||"H"||1||0|||30|||30||0|0|0|0|3|5|95|97.5|100|95|97.5|100|75|87.5|100|35|65|95||30.1|||2.5|||3.5|||5|||9.4|||9.7|||54.9||||||||10|15|20||||2|3|4||||1.1|1.2|1.3|||||1.26|||1.41|7.76|14.11|0.14|0.16|0.18|||||25.6|||10.3|||50||0|1.5|2.9|25|32|39|6|9|13||||".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|9.1|13.4|17.5|||||||5.4|6.1|6.9|||||||||||||||||||||||||||||||||"25727258"|"76729984"
"2Cg"||"H"||4||117|||155|||38||0|1|1|0|8|15|55|67.5|80|30|50|70|20|30|40|15|22.5|30|||||0|||||||||||||||||||||||3|7.5|12||||0.5|0.75|1||||1.4|1.55|1.7|||||1.67|||14.11|28.23|42.34|0.03|0.06|0.08|||||||||||23||0|1.5|2.9|0|21|26|0|4|7||||||0|0|0|0|0|0|0|0|0|0|0|0||||1.9|4.3|6.7||||4.5|5.3|6|||||||||||||||||||||||||||||||||"25727258"|"76729981"
"2Cg"||"C"||4||109|||165|||56||0|1|1|0|10|20|40|70|100|20|60|100|15|45|75|10|32.5|55|||||0|||||||||||||||||||||||0|5|10||||0|0.25|0.5||||1.2|1.45|1.7|||||1.55|||14.11|28.23|42.34|0.04|0.06|0.08|||||||||||29||0|1.5|2.9|0|17|23|0|2|6||||||0|0|0|0|0|0|0|0|0|0|0|0|0|2.7|5.4|||||||5.1|6.2|7.3|||||||||||||||||||||||||||||||||"25727259"|"76729987"
"Bg"||"B"||2||18|||66|||48||0|0|0|0|3|5|95|97.5|100|80|90|100|80|90|100|40|65|90||17.7|||0.2|||0.4|||1.2|||5.1|||10.8|||53.8||||||||15|28.5|30||||0|0.25|0.5||||1.3|1.4|1.5|||||1.47|||1.41|2.82|4.23|0.16|0.18|0.2|||||28.4|||15.1|||42||0|1.5|2.9|24|37|40|9|20|21||||".49"|".49"|0|0|0|0|0|0|0|0|0|0|0|0|7.6|14.9|15.8|||||||5.1|5.8|6.5|||||||||||||||||||||||||||||||||"25727259"|"76729985"
"Ap"||"A"||1||0|||18|||18||0|0|0|0|3|5|95|97.5|100|80|90|100|60|80|100|35|62.5|90||30.5|||2.5|||3.6|||5|||9.5|||9.9|||56||||||||10|13.5|17||||2|3|4||||1.2|1.3|1.4|||||1.36|||4.23|9.17|14.11|0.16|0.18|0.2|||||24.7|||10|||44||0|1.5|2.9|25|31|37|6|8|11||||".43"|".43"|0|0|0|0|0|0|0|0|0|0|0|0|5.5|7.4|9.3|||||||5.4|6.1|6.9|||||||||||||||||||||||||||||||||"25727259"|"76729988"
"Cg"||"C"||3||66|||109|||43||0|0|0|0|5|10|90|95|100|65|82.5|100|60|80|100|35|67.5|100||68.1|||0|||2.4|||14.7|||34.1|||16.9|||14.4||||||||15|17.5|30||||0|0.25|0.5||||1.2|1.35|1.5|||||1.42|||1.41|7.76|14.11|0.12|0.15|0.18|||||17.9|||9.6|||41||0|1.5|2.9|24|28|40|9|11|21||||".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|7.6|9.2|15.8|||||||5.1|6.2|7.3|||||||||||||||||||||||||||||||||"25727259"|"76729986"
"Bg1"||"B"||2||20|||43|||23||0|0|0|0|0|0|90|95|100|85|92.5|100|75|87.5|100|50|70|90||22.4|||1.9|||2.5|||2.3|||6.8|||8.9|||55.1||||||||15|22.5|30||||0|0.25|0.5||||1.2|1.3|1.4|||||1.36|||1.41|2.82|4.23|0.16|0.19|0.22|||||26.4|||11.5|||46||0|1.5|2.9|25|30|35|5|12.5|20||||".49"|".49"|0|0|0|0|0|0|0|0|0|0|0|0|7.6|11.8|15.8|||||||5.1|5.8|6.5|||||||||||||||||||||||||||||||||"25727260"|"76729992"
